"Year","Inflation_Rate"
"1980",16.8
"1981",12.2
"1982",8.5
"1983",5.2
"1984",4.4
"1985",5.2
"1986",3.6
"1987",4.1
"1988",4.6
"1989",5.2
"1990",7
"1991",7.5
"1992",4.2
"1993",2.5
"1994",2
"1995",2.6
"1996",2.4
"1997",1.8
"1998",1.6
"1999",1.3
"2000",0.8
"2001",1.2
"2002",1.3
"2003",1.4
"2004",1.3
"2005",2.1
"2006",2.3
"2007",2.3
"2008",3.6
"2009",2.2
"2010",3.3
"2011",4.5
"2012",2.8
"2013",2.6
"2014",1.5
"2015",0
"2016",0.7
"2017",2.7
"2018",2.5
"2019",1.8
"2020",0.9
"2021",2.6
"2022",9.1
"2023",7.3
"2024",2.5
"2025",2
"2026",2
"2027",2
"2028",2
"2029",2
